Pali,English,Type
cattārome,four.these
vadāmi,say
kabaḷīkāre,solid food
āhāre,nutriment
pariññāte,understood
pañcakāmaguṇiko,5.sensepleasure
rāgo,lust
pariññāto,known certain
hoti,exist
pañcakāmaguṇike,5.sensepleasure
rāge,lust
natthi,not present
saṃyojanaṃ,fettered
yena,where
saṃyojanena,fetter
saṃyutto,bound
ariyasāvako,noble disciple
puna,again
lokaṃ,world
āgaccheyya,comes to
phassāhāro,contact.nutriment
gāvī,cow
niccammā,skinless
kuṭṭaṃ,wall
ce,if
nissāya,supported
tiṭṭheyya,stand
ye,whatever
kuṭṭanissitā,wall.dependent
pāṇā,living being
naṃ,certainly
rukkhaṃ,tree
rukkhanissitā,tree.dependent
udakaṃ,water
udakanissitā,water.dependent
ākāsaṃ,air
ākāsanissitā,air.dependent
yaṃ,whatever
yadeva,which
hi,because or indeed
tannissitā,that.dependent
phasse,contact
tisso,three
vedanā,feeling
pariññātā,comprehended
honti,to be
tīsu,three
vedanāsu,feeling
pariññātāsu,comprehended
ariyasāvakassa,noble.disciple
kiñci,something
uttarikaraṇīyanti,further.to do
manosañcetanāhāro,mental.intent.nutriment
aṅgārakāsu,charcoal pit
sādhikaporisā,exceed.man-height
puṇṇā,full
aṅgārānaṃ,charcoal pit
vītaccikānaṃ,flameless
vītadhūmānaṃ,without.smoke
puriso,man
jīvitukāmo,life.enjoy
amaritukāmo,not.death.enjoy
sukhakāmo,happy.enjoy
dukkhappaṭikūlo,suffer.averse
tamenaṃ,
balavanto,powerful
purisā,man
nānābāhāsu,carry away
gahetvā,have taken
aṅgārakāsuṃ,charcoal pit
upakaḍḍheyyuṃ,drag
tassa,that
purisassa,man
ārakāvassa,far away
cetanā,intention
ārakā,far away
patthanā,desire
paṇidhi,determination
kissa,what
hetu,reason
evañhi,thus
cāhaṃ,and.I
papatissāmi,fall into
tatonidānaṃ,on account of
maraṇaṃ,death
nigacchāmi,come to
maraṇamattaṃ,death
dukkhan,suffering
daṭṭhabboti,to see
manosañcetanāya,mind.intent
taṇhā,craving
taṇhāsu,craving
viññāṇāhāro,consciousness.nutriment
coraṃ,thief
āgucāriṃ,criminal
rañño,king
dasseyyuṃ,give
ayaṃ,this
deva,king
coro,thief
āgucārī,criminal
imassa,this
icchasi,wish
daṇḍaṃ,punishment
paṇehī,decree
rājā,king
vadeyya,say
gacchatha,go
bho,friend
purisaṃ,man
pubbaṇhasamayaṃ,forenoon
sattisatena,spear.100
hanathāti,strike
haneyyuṃ,strike
majjhanhikasamayaṃ,mid.time
ambho,hey!
kathaṃ,how?
so,he
purisoti,man
tatheva,true
jīvatī,lives
hanathā,strike
sāyanhasamayaṃ,evening.time
divasaṃ,day
tīhi,three
sattisatehi,spear.100
haññamāno,struck
dukkhaṃ,pain
domanassaṃ,grief
paṭisaṃvediyethā,experiences
ekissāpi,one.if
bhante, Sir
sattiyā,spear
paṭisaṃvediyetha,experience
ko,
pana,yet
vādo,speaking of
viññāṇe,consciousness
nāmarūpaṃ,name\&form
pariññātaṃ,comprehended
nāmarūpe,name\&form
vadāmī,say
tatiyaṃ,the third
atthirāgasuttaṃ,
viharati,dwell
nandī,delight
patiṭṭhitaṃ,established
tattha,there
virūḷhaṃ,growth
yattha,wherever
nāmarūpassa,name\&form
avakkanti,appearance
saṅkhārānaṃ,volitional form
vuddhi,growth
āyatiṃ,future
punabbhavābhinibbatti,new existence
jātijarāmaraṇaṃ,birht.oldage.death
sasokaṃ,wth grief
sadaraṃ,with trouble
saupāyāsanti,with despair
rajako,artist
cittakārako,painter
sati,
rajanāya,dye
lākhāya,lac
haliddiyā,turmeric
nīliyā,blue
mañjiṭṭhāya,crimson
suparimaṭṭhe,plank
phalake,board
bhittiyā,wall
dussapaṭṭe,cloth
itthirūpaṃ,woman
purisarūpaṃ,man
abhinimmineyya,create
sabbaṅgapaccaṅgaṃ,all.majorminorlimb
appatiṭṭhitaṃ,without footing
avirūḷhaṃ,not grown
asokaṃ,no sorrow
adaraṃ,no trouble
anupāyāsanti,sorrowless
kūṭāgāraṃ,house.pinnacle
kūṭāgārasālaṃ,building.pinnacle
uttarāya,northern
dakkhiṇāya,southern
pācīnāya,eastern
vātapānā,window
sūriye,sun
uggacchante,rises
vātapānena,window
rasmi,ray light
pavisitvā,entered
kvāssa,where
pacchimāyaṃ,western
bhittiyan,wall
pacchimā,western
bhitti,wall
nāssa,not.this
patiṭṭhitā,established
pathaviyaṃ,earth
pathavī,earth
āpasmiṃ,water
āpo,water
appatiṭṭhitā,without a footing
